VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.095                 -0.0005       0.014035175879397        1.14692928582478        3517.62098928075       0.225813708806312       -3537.24102391802        -1.3259772717889        296.969403446002         300.00000544175                       0                       0                       0                       0                       0                       0                       0        500.704100730987        75.2192473382684                       0       -20.7290177788662   1.83100000867853E-005    0.000174854641540568                       0       0.356316893310447                       0                       0                       0        10962.4996813159        599.523816830983                       1                       1                       1 
                  0.095                 -0.0005      0.0141407035175879        1.14695941510379        3526.43292902521       0.225696127701442       -3533.64370532228         -1.329886990375        296.972518898866        299.999997632465                       0                       0                       0                       0                       0                       0                       0        500.581136264485        75.1333596061611                       0       -20.8880968732758   1.83100000867853E-005    0.000174939952747521                       0       0.368331599672929                       0                       0                       0        10962.4996716739        600.029307980606                       1                       1                       1 
                  0.095                 -0.0005      0.0142462311557789         1.1469893630626          3535.368467385       0.225579398813015       -3530.06892583722       -1.33200765028452        296.975614471127        299.999990690252                       0                       0                       0                       0                       0                       0                       0        500.465136092199        75.0476438779984                       0       -21.0477251245213   1.83100000867853E-005    0.000175026394149516                       0       0.380200694954387                       0                       0                       0        10962.4996716739        600.533043771999                       1                       1                       1 
                  0.095                 -0.0005      0.0143517587939699         1.1470193926227        3544.82863340473       0.225462819118664       -3526.48814987454       -1.32572976778523        296.978715177997        299.999989475446                       0                       0                       0                       0                       0                       0                       0        500.368246664145        74.9609515859767                       0       -21.2092201256428   1.83100000867853E-005    0.000175117029323989                       0       0.394977024522898                       0                       0                       0        10962.4996716739        601.030726478508                       1                       1                       1 
                  0.095                 -0.0005      0.0144572864321608        1.14705115422889         3554.1598271021       0.225339174169249       -3522.70297614307        -1.3139650461264         296.98199350875        299.999993321593                       0                       0                       0                       0                       0                       0                       0        500.245936198511        74.8710176435041                       0       -21.3693600568699   1.83100000867853E-005    0.000175205532505764                       0       0.412194924115362                       0                       0                       0        10962.4996716739        601.532344539567                       1                       1                       1 
                  0.095                 -0.0005      0.0145628140703518        1.14708335438204        3563.18398896514       0.225213566389653       -3518.86649251554        -1.3009816225721        296.985314804126        299.999997156253                       0                       0                       0                       0                       0                       0                       0        500.107228291782        74.7807101610841                       0       -21.5281993990102   1.83100000867853E-005    0.000175291372391403                       0       0.425779227048394                       0                       0                       0        10962.4996620319        602.037890051613                       1                       1                       1 
                  0.095                 -0.0005      0.0146683417085427        1.14711533123571        3572.36448539984       0.225088958044581       -3515.05613487795       -1.28861873832764        296.988614222761        300.000000996761                       0                       0                       0                       0                       0                       0                       0        499.976869639562        74.6905928778588                       0       -21.6877009755345   1.83100000867853E-005    0.000175378568375054                       0       0.441213685711272                       0                       0                       0        10962.4996620319        602.541435782859                       1                       1                       1 
                  0.095                 -0.0005      0.0147738693467337        1.14714760697633        3582.10091020648        0.22496339996664       -3511.20630257473       -1.28099995061562         296.99194975799        300.000001292429                       0                       0                       0                       0                       0                       0                       0        499.860596811411        74.5989126033111                       0       -21.8490392854796   1.83100000867853E-005    0.000175469663528862                       0       0.461882948097226                       0                       0                       0        10962.4996620319        603.039293742978                       1                       1                       1 
                  0.095                 -0.0005      0.0148793969849246        1.14718162116174        3591.48882184289       0.224830471716453       -3507.14720782096       -1.27421052273221        296.995464090897        299.999997313931                       0                       0                       0                       0                       0                       0                       0        499.708711625783        74.5042025171345                       0       -22.0083978535286   1.83100000867853E-005    0.000175556890968549                       0       0.484748338379369                       0                       0                       0        10962.4996620319        603.542557260376                       1                       1                       1 
                  0.095                 -0.0005      0.0149849246231156        1.14721592629927        3600.64797287507       0.224696214270772       -3503.05385957313       -1.26611018844332        296.999007051119        299.999993341348                       0                       0                       0                       0                       0                       0                       0        499.545462008884        74.4092568898461                       0       -22.1668449653722   1.83100000867853E-005    0.000175642261669156                       0        0.50870871460525                       0                       0                       0        10962.4996523899         604.04838026631                       1                       1                       1 
                  0.095                 -0.0005      0.0150904522613065        1.14724998134796         3610.0037558246       0.224563099339378       -3498.98995402692       -1.25913664789171         297.00252540464        299.999989363681                       0                       0                       0                       0                       0                       0                       0        499.391980725648        74.3145137226822                       0       -22.3260755223457   1.83100000867853E-005    0.000175729228335845                       0       0.531727892033861                       0                       0                       0        10962.4996523899        604.552003255593                       1                       1                       1 
                  0.095                 -0.0005      0.0151959798994975        1.14728470459331        3619.95892334524       0.224427765027123       -3494.84808926553       -1.25023131009557          297.0061107564         299.99998645725                       0                       0                       0                       0                       0                       0                       0        499.253450558379        74.2175764027993                       0       -22.4870428516195   1.83100000867853E-005    0.000175820319136652                       0       0.552232400778517                       0                       0                       0        10962.4996523899         605.05012718032                       1                       1                       1 
                  0.095                 -0.0005      0.0153015075376884        1.14732121736648        3629.35277727769        0.22428483044798       -3490.49506739885       -1.23627244884932        297.009876536341        299.999986106604                       0                       0                       0                       0                       0                       0                       0        499.076635064388        74.1178926082529                       0        -22.645330157138   1.83100000867853E-005    0.000175906491105178                       0       0.569100101463965                       0                       0                       0        10962.4996523899        605.554955497293                       1                       1                       1 
                  0.095                 -0.0005      0.0154070351758794        1.14735787090341        3638.62364703791       0.224141233996451       -3486.12527578127       -1.22208143968669        297.013656794809        299.999986071877                       0                       0                       0                       0                       0                       0                       0        498.894012792845        74.0181026491317                       0        -22.803143280009   1.83100000867853E-005    0.000175991709517726                       0       0.585311805149402                       0                       0                       0        10962.4996427479        606.061055573204                       1                       1                       1 
                  0.095                 -0.0005      0.0155125628140704        1.14739425312625         3648.1315617586       0.223998913266103       -3481.78780689962       -1.20833788201414        297.017409146742        299.999985428235                       0                       0                       0                       0                       0                       0                       0        498.722582752991        73.9185173161588                       0        -22.961870362819   1.83100000867853E-005    0.000176078765854897                       0       0.602787905174397                       0                       0                       0        10962.4996427479        606.564704406486                       1                       1                       1 
                  0.095                 -0.0005      0.0156180904522613        1.14743164199777        3658.18544620532       0.223852898070036       -3477.32865706962       -1.19691728627123        297.021269948579        299.999986004062                       0                       0                       0                       0                       0                       0                       0        498.551822870168        73.8160316367402                       0       -23.1222077851842   1.83100000867853E-005    0.000176168654403593                       0       0.621159397267587                       0                       0                       0        10962.4996427479        607.063168663322                       1                       1                       1 
                  0.095                 -0.0005      0.0157236180904523        1.14747075244429        3667.40984142484       0.223699227659962       -3472.66234054729       -1.19483940157265        297.025315161335        299.999985969258                       0                       0                       0                       0                       0                       0                       0        498.330621256676        73.7111562944044                       0       -23.2791988250339   1.83100000867853E-005    0.000176251672922385                       0       0.641518680691513                       0                       0                       0        10962.4996427479        607.569774589481                       1                       1                       1 
                  0.095                 -0.0005      0.0158291457286432         1.1475098628908        3676.63423664314       0.223545557249889       -3467.99602402496       -1.19276151650301        297.029360374093        299.999985934455                       0                       0                       0                       0                       0                       0                       0        498.109419643196        73.6062809520689                       0       -23.4361898648835   1.83100000867853E-005    0.000176334691441177                       0       0.661877964108192                       0                       0                       0         10962.499633106         608.07638051564                       1                       1                       1 
                  0.095                 -0.0005      0.0159346733668342        1.14754868557545        3686.14137779855       0.223393280080925        -3463.3643642999       -1.18780961514124        297.033374424014        299.999986559896                       0                       0                       0                       0                       0                       0                       0        497.900813924499        73.5016015784011                       0       -23.5942315092449   1.83100000867853E-005     0.00017641979653765                       0       0.681242726022446                       0                       0                       0         10962.499633106        608.580291067977                       1                       1                       1 
                  0.095                 -0.0005      0.0160402010050251        1.14758907794907        3696.06661921103       0.223234997359964       -3458.54554851078       -1.17600459010008        297.037543955195        299.999984071197                       0                       0                       0                       0                       0                       0                       0         497.69603115825        73.3932253102357                       0        -23.753050634104   1.83100000867853E-005    0.000176507465178144                       0       0.702365043268053                       0                       0                       0         10962.499633106        609.080360709353                       1                       1                       1 
                  0.095                 -0.0005      0.0161457286432161        1.14763086778568        3705.21589375636       0.223070515556382       -3453.56178744526       -1.15592432231315        297.041849432836        299.999980100524                       0                       0                       0                       0                       0                       0                       0        497.454039102401        73.2830831901787                       0        -23.908836293945   1.83100000867853E-005     0.00017658958417472                       0       0.720217070720987                       0                       0                       0         10962.499633106        609.587023094617                       1                       1                       1 
                  0.095                 -0.0005       0.016251256281407        1.14767265762229        3714.36516830233       0.222906033752803       -3448.57802637972       -1.13584405452621        297.046154910477        299.999976129851                       0                       0                       0                       0                       0                       0                       0        497.212047046557        73.1729410701223                       0       -24.0646219537861   1.83100000867853E-005    0.000176671703171303                       0         0.7380690982348                       0                       0                       0         10962.499623464        610.093685479881                       1                       1                       1 
                  0.095                 -0.0005       0.016356783919598        1.14771413910483         3723.8504721464       0.222743034504645       -3443.63015851416       -1.11934778691529        297.050431778682        299.999972152682                       0                       0                       0                       0                       0                       0                       0        496.983919114323        73.0629709236775                       0       -24.2216036201057   1.83100000867853E-005    0.000176756139309788                       0       0.757993689318966                       0                       0                       0         10962.499623464         610.59753584579                       1                       1                       1 
                  0.095                 -0.0005      0.0164623115577889        1.14775774939168        3733.36737516299       0.222571520323809       -3438.42691705563       -1.10753241975331         297.05493600714        299.999971456707                       0                       0                       0                       0                       0                       0                       0        496.715926735129        72.9484475939437                       0       -24.3785484357628   1.83100000867853E-005    0.000176838651695574                       0       0.769159185901518                       0                       0                       0         10962.499623464        611.099102783879                       1                       1                       1 
                  0.095                 -0.0005      0.0165678391959799        1.14780232552437        3742.14282356659       0.222395401136972       -3433.10493883851       -1.09731558507172        297.059544736349        299.999971386979                       0                       0                       0                       0                       0                       0                       0        496.411523157616        72.8327860309393                       0       -24.5329235056436   1.83100000867853E-005    0.000176915917716803                       0       0.770578522316823                       0                       0                       0         10962.499623464         611.60604444374                       1                       1                       1 
                  0.095                 -0.0005      0.0166733668341709        1.14784690165706         3750.9182719703       0.222219281950137       -3427.78296062141       -1.08709875039012        297.064153465558        299.999971317252                       0                       0                       0                       0                       0                       0                       0        496.107119580107        72.7171244679352                       0       -24.6872985755244   1.83100000867853E-005    0.000176993183738028                       0       0.771997858337862                       0                       0                       0         10962.499613822        612.112986103601                       1                       1                       1 
                  0.095                 -0.0005      0.0167788944723618        1.14789119303073        3760.08933435475       0.222044711563024       -3422.49715100468       -1.07571113560208        297.068730062172         299.99997124851                       0                       0                       0                       0                       0                       0                       0        495.817777217127        72.6015954542126                       0         -24.84302102078   1.83100000867853E-005    0.000177073007064567                       0       0.778009791258508                       0                       0                       0         10962.499613822         612.61689354206                       1                       1                       1 
                  0.095                 -0.0005      0.0168844221105528        1.14793823144564         3769.1636632672       0.221859020245877       -3416.88361377985       -1.06345602075654        297.073586203343        299.999970331216                       0                       0                       0                       0                       0                       0                       0        495.523211211517         72.480788459593                       0        -24.997417767994   1.83100000867853E-005    0.000177152959376768                       0       0.799082797649749                       0                       0                       0         10962.499613822        613.120061827909                       1                       1                       1 
                  0.095                 -0.0005      0.0169899497487437        1.14798585009425        3777.65040542757       0.221670487222427       -3411.20084420651       -1.05129779928245        297.078501943369        299.999970296306                       0                       0                       0                       0                       0                       0                       0        495.207651623429        72.3595037406115                       0       -25.1497742717312   1.83100000867853E-005    0.000177229372517186                       0       0.821907038501325                       0                       0                       0         10962.499613822        613.627283470891                       1                       1                       1 
                  0.095                 -0.0005      0.0170954773869347        1.14803346874285         3786.1371475878        0.22148195419898       -3405.51807463317       -1.03913957780836        297.083417683394        299.999970261397                       0                       0                       0                       0                       0                       0                       0        494.892092035344        72.2382190216307                       0       -25.3021307754687   1.83100000867853E-005    0.000177305785657605                       0       0.844731280155927                       0                       0                       0          10962.49960418        614.134505113872                       1                       1                       1 
                  0.095                 -0.0005      0.0172010050251256        1.14808087414738        3795.05464452842       0.221294662582092       -3399.86076846274       -1.02673991142657        297.088311343582        299.999969387586                       0                       0                       0                       0                       0                       0                       0        494.589832354088        72.1168558892121                       0       -25.4559466567809   1.83100000867853E-005    0.000177384716720446                       0       0.866009842202775                       0                       0                       0          10962.49960418        614.638566734112                       1                       1                       1 
                  0.095                 -0.0005      0.0173065326633166        1.14813149978428        3803.07191115437       0.221094210263363       -3393.82626567774       -1.01150999637022        297.093526143316        299.999962900593                       0                       0                       0                       0                       0                       0                       0         494.18098551563        71.9896791628198                       0       -25.6075456192663   1.83100000867853E-005    0.000177454272507833                       0       0.858917243456786                       0                       0                       0          10962.49960418        615.143243939169                       1                       1                       1 
                  0.095                 -0.0005      0.0174120603015075        1.14818234049612        3810.66629715785       0.220892480523739       -3387.76517743957      -0.999514925578507        297.098764078817        299.999955033044                       0                       0                       0                       0                       0                       0                       0        493.758275229551        71.8625196606201                       0       -25.7577524094257   1.83100000867853E-005    0.000177521372082978                       0       0.849328001427604                       0                       0                       0         10962.499594538        615.650743987701                       1                       1                       1 
                  0.095                 -0.0005      0.0175175879396985        1.14823318120796        3818.26068316249       0.220690750784115        -3381.7040892014      -0.987519854786798        297.104002014318        299.999947165496                       0                       0                       0                       0                       0                       0                       0        493.335564943462        71.7353601584199                       0       -25.9079591995854   1.83100000867853E-005     0.00017758847165812                       0       0.839738759781093                       0                       0                       0         10962.499594538        616.158244036233                       1                       1                       1 
                  0.095                 -0.0005      0.0176231155778894        1.14828415242809        3826.30992448198       0.220488916215362       -3375.62747901768      -0.972764138201443        297.109254048977        299.999941387896                       0                       0                       0                       0                       0                       0                       0        492.932333545477        71.6074871002545                       0        -26.059500514823   1.83100000867853E-005    0.000177658641599697                       0       0.837471368678159                       0                       0                       0         10962.499594538        616.662398511116                       1                       1                       1 
                  0.095                 -0.0005      0.0177286432160804        1.14833818023936        3833.62002981069       0.220273839892835       -3369.17778555224      -0.957723716726265        297.114835156163        299.999944456321                       0                       0                       0                       0                       0                       0                       0        492.543473889173         71.474463404927                       0       -26.2073601913931   1.83100000867853E-005    0.000177728286009859                       0       0.865342370354275                       0                       0                       0         10962.499594538        617.168839321133                       1                       1                       1 
                  0.095                 -0.0005      0.0178341708542714        1.14839230207395        3840.68599575456       0.220058136648807       -3362.71647162988       -0.94181998938825        297.120426331266        299.999948284328                       0                       0                       0                       0                       0                       0                       0        492.147360613917         71.341500030028                       0         -26.35441988422   1.83100000867853E-005    0.000177796617453223                       0       0.891422250967196                       0                       0                       0         10962.499584896        617.676851111496                       1                       1                       1 
                  0.095                 -0.0005      0.0179396984924623        1.14844642390853        3847.75196169864       0.219842433404777       -3356.25515770751      -0.925916261679162        297.126017506369        299.999952112335                       0                       0                       0                       0                       0                       0                       0        491.751247338656        71.2085366551282                       0       -26.5014795770472   1.83100000867853E-005    0.000177864948896579                       0       0.917502131875816                       0                       0                       0         10962.499584896        618.184862901859                       1                       1                       1 
                  0.095                 -0.0005      0.0180452261306533        1.14850106217754        3855.04208953494        0.21962512120126       -3349.73362914831      -0.910947281615176        297.131659776062        299.999953429587                       0                       0                       0                       0                       0                       0                       0        491.331282571478        71.0741413063631                       0       -26.6498063641299   1.83100000867853E-005    0.000177932745059572                       0         0.9332753310284                       0                       0                       0         10962.499584896        618.689324398932                       1                       1                       1 
                  0.095                 -0.0005      0.0181507537688442        1.14855862528815        3860.45180981813       0.219395016500269       -3342.86521130705      -0.902796189116528        297.137601734819        299.999949531493                       0                       0                       0                       0                       0                       0                       0         490.73873765381        70.9350891766096                       0       -26.7940544022092   1.83100000867853E-005     0.00017798383454574                       0       0.893670407932665                       0                       0                       0         10962.499584896        619.197118504273                       1                       1                       1 
                  0.095                 -0.0005      0.0182562814070352        1.14861619988011        3865.81568361275       0.219164816882486       -3335.99538828924      -0.894948975724744        297.143545032889        299.999945634133                       0                       0                       0                       0                       0                       0                       0         490.14495127884        70.7960590281871                       0       -26.9381517563407   1.83100000867853E-005    0.000178034686701062                       0        0.85392560188056                       0                       0                       0        10962.4995752541        619.705190526366                       1                       1                       1 
                  0.095                 -0.0005      0.0183618090452261        1.14867377447208          3871.179557407       0.218934617264703        -3329.1255652714       -0.88710176233296        297.149488330959        299.999941736772                       0                       0                       0                       0                       0                       0                       0        489.551164903856        70.6570288797644                       0       -27.0822491104725   1.83100000867853E-005     0.00017808553885638                       0       0.814180796283599                       0                       0                       0        10962.4995752541         620.21326254846                       1                       1                       1 
                  0.095                 -0.0005      0.0184673366834171        1.14873230013309        3876.81102180362       0.218700819215744       -3322.14163617515       -0.87384793271603        297.155527748805        299.999938964844                       0                       0                       0                       0                       0                       0                       0        489.007213805735        70.5160870921341                       0       -27.2264743081754   1.83100000867853E-005    0.000178140618385063                       0       0.803223757392327                       0                       0                       0        10962.4995752541        620.718700145185                       1                       1                       1 
                  0.095                 -0.0005       0.018572864321608         1.1487934141034        3881.56476555108       0.218455421683629       -3314.84495570679      -0.850122711899061        297.161830400998        299.999938964844                       0                       0                       0                       0                       0                       0                       0        488.546531331523        70.3714086943688                       0         -27.36589050121   1.83100000867853E-005    0.000178198487166019                       0       0.856133581287412                       0                       0                       0        10962.4995752541        621.227055109583                       1                       1                       1 
                  0.095                 -0.0005       0.018678391959799        1.14885452807371        3886.31850929716       0.218210024151511       -3307.54827523843      -0.826397490711019         297.16813305319        299.999938964844                       0                       0                       0                       0                       0                       0                       0        488.085848857292        70.2267302966028                       0       -27.5053066942435   1.83100000867853E-005    0.000178256355946972                       0       0.909043403599634                       0                       0                       0        10962.4995656121        621.735410073982                       1                       1                       1 
                  0.095                 -0.0005        0.01878391959799        1.14891564204402        3891.07225304463       0.217964626619396       -3300.25159477007      -0.802672269894049        297.174435705382        299.999938964844                       0                       0                       0                       0                       0                       0                       0        487.625166383079        70.0820518988375                       0        -27.644722887278   1.83100000867853E-005    0.000178314224727928                       0        0.96195322749472                       0                       0                       0        10962.4995656121         622.24376503838                       1                       1                       1 
                  0.095                 -0.0005      0.0188894472361809        1.14897807625903        3894.99689339218       0.217713878605339       -3292.79856658454      -0.782948290633034        297.180878385724        299.999938778225                       0                       0                       0                       0                       0                       0                       0        487.023322637899        69.9348802857735                       0       -27.7836757736776   1.83100000867853E-005     0.00017835858256215                       0       0.993078456630361                       0                       0                       0        10962.4995656121        622.750613288618                       1                       1                       1 
                  0.095                 -0.0005      0.0189949748743719        1.14904270579216        3896.84991931108       0.217453364582845       -3285.08443743684      -0.770216697817789         297.18755513865        299.999938813364                       0                       0                       0                       0                       0                       0                       0        486.171115543246        69.7842002546791                       0       -27.9194634106594   1.83100000867853E-005    0.000178377229356391                       0       0.986949861163448                       0                       0                       0        10962.4995656121        623.259251959423                       1                       1                       1 
                  0.095                 -0.0005      0.0191005025125628        1.14910733532529        3898.70294523006       0.217192850560349       -3277.37030828916      -0.757485105188081        297.194231891576        299.999938848504                       0                       0                       0                       0                       0                       0                       0         485.31890844859        69.6335202235844                       0       -28.0552510476396   1.83100000867853E-005    0.000178395876150627                       0       0.980821265748716                       0                       0                       0        10962.4995559701        623.767890630228                       1                       1                       1 
                  0.095                 -0.0005      0.0192060301507538        1.14917196485842        3900.55597114895       0.216932336537855       -3269.65617914146      -0.744753512372836        297.200908644503        299.999938883643                       0                       0                       0                       0                       0                       0                       0        484.466701353938          69.48284019249                       0       -28.1910386846214   1.83100000867853E-005    0.000178414522944868                       0       0.974692670281803                       0                       0                       0        10962.4995559701        624.276529301033                       1                       1                       1 
                  0.095                 -0.0005      0.0193115577889447         1.1492382638641        3902.35680577512       0.216664721299603       -3261.74285527179      -0.728235169795728        297.207753073491        299.999940708384                       0                       0                       0                       0                       0                       0                       0        483.806351236745        69.3298164964973                       0       -28.3240363595216   1.83100000867853E-005    0.000178429111044622                       0        1.21153442069162                       0                       0                       0        10962.4995559701        624.784895769271                       1                       1                       1 
                  0.095                 -0.0005      0.0194170854271357        1.14930649320726        3903.93253763266       0.216388653926201       -3253.59906581832      -0.707619659938635        297.214791483437        299.999944638704                       0                       0                       0                       0                       0                       0                       0        483.368840578174        69.1742559000174                       0       -28.4531347629713   1.83100000867853E-005    0.000178438260334299                       0        1.73461832994616                       0                       0                       0        10962.4995559701        625.294045730553                       1                       1                       1 
                  0.095                 -0.0005      0.0195226130653266        1.14937459257226        3905.54784072983       0.216112998742319       -3245.47072390159       -0.68698436516377        297.221816329504        299.999948544859                       0                       0                       0                       0                       0                       0                       0        482.934624803944        69.0188435722693                       0       -28.5822402915582   1.83100000867853E-005    0.000178447812090301                       0        2.25796776194941                       0                       0                       0        10962.4995463281        625.803002660082                       1                       1                       1 
                  0.095                 -0.0005      0.0196281407035176         1.1494426337484        3907.18085915008       0.215837528088173       -3237.34929756537      -0.666340213310579        297.228835103268        299.999952440194                       0                       0                       0                       0                       0                       0                       0        482.501884089372        68.8634976217296                       0       -28.7113490099406   1.83100000867853E-005    0.000178457544023164                       0        2.78143606192496                       0                       0                       0        10962.4995463281        626.311873172815                       1                       1                       1 
                  0.095                 -0.0005      0.0197336683417085         1.1495123697751        3906.37549354554       0.215554657321847       -3229.02177503582      -0.636130626579458        297.236032405073        299.999962663307                       0                       0                       0                       0                       0                       0                       0         481.81106932854        68.7053706683605                       0        -28.838186702261   1.83100000867853E-005    0.000178340619802331                       0        3.29433431264784                       0                       0                       0        10962.4995463281        626.821372997183                       1                       1                       1 
                  0.095                 -0.0005      0.0198391959798995        1.14958363914019         3903.6162778066       0.215265366078722        -3220.5081011306      -0.597598038003945        297.243391057184        299.999978241805                       0                       0                       0                       0                       0                       0                       0        480.903461024079        68.5445854983892                       0        -28.963664025067   1.83100000867853E-005    0.000178116777027952                       0        3.79686984007463                       0                       0                       0        10962.4995463281          627.3302978512                       1                       1                       1 
                  0.095                 -0.0005      0.0199447236180905        1.14965490850528        3900.85706206764         0.2149760748356        -3211.9944272254      -0.559065450356117        297.250749709295        299.999993820301                       0                       0                       0                       0                       0                       0                       0        479.995852719625        68.3838003284192                       0       -29.0891413478719   1.83100000867853E-005    0.000177892934253535                       0        4.29940537086139                       0                       0                       0        10962.4995366861        627.839222705218                       1                       1                       1 
                  0.095                 -0.0005      0.0200502512562814        1.14972617787037        3898.09784632871       0.214686783592476       -3203.48075332018      -0.520532861780605        297.258108361406        300.000009398799                       0                       0                       0                       0                       0                       0                       0        479.088244415165         68.223015158448                       0       -29.2146186706779   1.83100000867853E-005    0.000177669091479156                       0        4.80194089828817                       0                       0                       0        10962.4995366861        628.348147559235                       1                       1                       1 
                  0.095                 -0.0005      0.0201557788944724        1.14979925388485        3895.72421685687       0.214388928925149       -3194.74327981558      -0.468336942292275        297.265682788057        300.000061327239                       0                       0                       0                       0                       0                       0                       0        480.789562841067        68.0607158064447                       0       -29.3336587433392   1.83100000867853E-005    0.000176875934077201                       0        1.34651516912466                       0                       0                       0        10962.4995366861        628.858957539237                       1                       1                       1 
                  0.095                 -0.0005      0.0202613065326633        1.14987375918362        3893.77266893297       0.214085147436478         -3185.830575538      -0.407872866307978        297.273423308642        300.000135310989                       0                       0                       0                       0                       0                       0                       0        484.076690273695        67.8966133617647                       0       -29.4501365378563   1.83100000867853E-005    0.000175734143188245                       0       -4.51795187859338                       0                       0                       0        10962.4995366861         629.36816406305                       1                       1                       1 
                  0.095                 -0.0005      0.0203668341708543         1.1499482644824        3891.82112100668       0.213781365947819       -3176.91787126041      -0.347408789395995        297.281163829228         300.00020929474                       0                       0                       0                       0                       0                       0                       0        487.363817706399        67.7325109170889                       0       -29.5666143323741   1.83100000867853E-005    0.000174592352299166                       0       -10.3824189251288                       0                       0                       0        10962.4995270442        629.877370586863                       1                       1                       1 
                  0.095                 -0.0005      0.0204723618090452        1.15002276978118        3889.86957308278       0.213477584459148       -3168.00516698283      -0.286944713411696        297.288904349813         300.00028327849                       0                       0                       0                       0                       0                       0                       0        490.650945139026        67.5684084724089                       0       -29.6830921268912   1.83100000867853E-005    0.000173450561410211                       0        -16.246885972847                       0                       0                       0        10962.4995270442        630.386577110676                       1                       1                       1 
                  0.095                 -0.0005      0.0205778894472362        1.15009750170458        3890.20703278407       0.213156060207287       -3158.89388662216      -0.496692714905616        297.297175647691        300.000495761392                       0                       0                       0                       0                       0                       0                       0         512.87798761156         67.398785235389                       0       -29.7943897815846   1.83100000867853E-005    0.000168688224398999                       0       -69.3338918143725                       0                       0                       0        10962.4995270442        630.898803516228                       1                       1                       1 
                  0.095                 -0.0005      0.0206834170854271        1.15017295178204         3891.5439151324       0.212825423290905        -3149.6248764088      -0.820011517643797         297.30573695786        300.000768210414                       0                       0                       0                       0                       0                       0                       0        543.229511895741        67.2253573568755                       0        -29.905320854416   1.83100000867853E-005    0.000162359225331253                       0       -142.533783246232                       0                       0                       0        10962.4995270442        631.408292465173                       1                       1                       1 
                  0.095                 -0.0005      0.0207889447236181         1.1502484018595        3892.88079748134       0.212494786374531       -3140.35586619547       -1.14333032038198        297.314298268029        300.001040659436                       0                       0                       0                       0                       0                       0                       0        573.581036179893        67.0519294783648                       0       -30.0162519272475   1.83100000867853E-005    0.000156030226263279                       0       -215.733674678821                       0                       0                       0        10962.4995174022        631.917781414118                       1                       1                       1 
                  0.095                 -0.0005       0.020894472361809        1.15032381162743          3894.225586196       0.212164262544803       -3131.09173865922       -1.46667372486483        297.322855187757        300.001312944384                       0                       0                       0                       0                       0                       0                       0        603.918834713322        66.8785941791841                       0       -30.1270799780019   1.83100000867853E-005    0.000149704956743952                       0        -288.91580316307                       0                       0                       0        10962.4995174022        632.427511997034                       1                       1                       1 
                  0.095                 -0.0005                   0.021          1.150388152483        4008.14002387967       0.211710888106459       -3121.64500304263       -5.16843307703955         297.33482294398        300.002005265672                       0                       0                       0                       0                       0                       0                       0        860.787723061663        66.6699763934136                       0       -30.2111086550334   1.83100000867853E-005    0.000139159022948547                       0       -638.777899450088                       0                       0                       0        10962.4995174022        632.940919730085                       1                       1                       1 
